Link Name,Site Name A,Site Name B,Latitude A,Longitude A,Latitude B,Longitude B
REITORIA RadioA to IFCE CAUCAIA RadioB,REITORIA,IFCE CAUCAIA,-3.750761,-38.538860,-3.730820,-38.672281
IFCE CAUCAIA RadioA to REP1 RadioB,IFCE CAUCAIA,REP1,-3.730820,-38.672281,-3.726789,-38.783895
REP1 RadioA to IFCE PECèM RadioB,REP1,IFCE PECèM,-3.726789,-38.783895,-3.658108,-38.857131
IFCE PECèM RadioA to REP2 RadioB,IFCE PECèM,REP2,-3.658108,-38.857131,-3.505803,-39.019076
REP2 RadioA to IFCE PARACURU RadioB,REP2,IFCE PARACURU,-3.505803,-39.019076,-3.444944,-39.041301
IFCE PARACURU RadioA to REP3 RadioB,IFCE PARACURU,REP3,-3.444944,-39.041301,-3.670772,-39.129877
REP3 RadioA to IFCE UMIRIM RadioB,REP3,IFCE UMIRIM,-3.670772,-39.129877,-3.687538,-39.343953
IFCE UMIRIM RadioA to REP4 RadioB,IFCE UMIRIM,REP4,-3.687538,-39.343953,-3.607552,-39.396929
REP4 RadioA to REP5 RadioB,REP4,REP5,-3.607552,-39.396929,-3.502382,-39.515789
REP5 RadioA to REP6 RadioB,REP5,REP6,-3.502382,-39.515789,-3.465820,-39.557429
REP6 RadioA to IFCE ITAPIPOCA RadioB,REP6,IFCE ITAPIPOCA,-3.465820,-39.557429,-3.489100,-39.569507
